"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ25","MGJ26","MGJ27","MGJ28","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K09690",792.8,408.34,1112.21,742.81,722.29,800.75,182.35,522.45,538.8,485.12,2415.54,745.03,592.86,2560.45,197,483.41,366.07,227.47,112.72,231.9,105.14,291.51,701.46,1265.42,1046.76,792.53,835.15,754.57,561.79
"K09691",701.8,359.01,1079.21,698.81,632.29,732.09,166.68,363.79,511.8,394.46,2121.87,496.03,589.86,2539.45,160,476.08,290.74,175.14,112.72,181.9,99.14,240.18,458.8,918.76,777.76,681.86,650.82,592.91,474.12
"K09692",464.07,125.82,136.31,300.69,586.99,375.8,73.5,245.49,379.96,134.16,756.65,516.9,39.15,41.42,90.98,420.8,270.51,160.65,5.67,137.12,10.46,138.33,328.67,865.4,800.03,481.89,941.49,361.07,458.49
"K09693",399.82,106.16,125.2,265.08,508.39,346.61,72.64,205.27,223.13,124.85,619.4,451.87,38.82,40.42,80.32,387.33,251.67,151.48,5.67,109.59,8.88,132.83,237.42,811.98,732.09,402.25,771.28,326.49,399.64
"K09694",114.15,36,55,80.5,123.5,194.18,17.5,37,3.83,25.33,296,173.49,2,33,21,73,49.5,22,13,47.5,6,82,167.83,253.49,168.17,176.5,187.17,102.81,155.5
"K09695",78.49,25,38,50.5,84.5,171.84,16.25,29.75,4.08,23.08,233.5,128.41,1,24,17.25,52.25,36.75,19,12,38.5,6,76,151.83,202.83,150.17,146.75,132.17,75.74,129.5
"K09696",146.33,51,46,138,255,63.5,5146.33,50.5,2714.5,3956.33,296.5,35.5,33,61,43.5,53,26.5,26.5,124,12.83,29,10.5,100.67,56.5,95.83,125.33,248.75,166.5,199.67
"K09697",146.33,51,46,138,255,63.5,5146.33,50.5,2714.5,3956.33,296.5,35.5,33,61,43.5,53,26.5,26.5,124,12.83,29,10.5,100.67,56.5,95.83,125.33,248.75,166.5,199.67
"K09698",831.7,264.86,666.83,978.59,1628.62,697.03,230.13,874.96,3033.6,764.88,1335.97,733.5,132.83,282.44,118.65,496.32,259.46,173.31,17.67,231.9,49.22,191.66,1048.64,1708.84,1702.3,1221.1,1711.59,841.71,804.7
"K09699",703.69,179.49,207.41,418.72,814.76,527,5195.43,300.72,2940.43,4090.13,708.54,383.36,41.33,75.67,87.16,188.02,114.64,82.37,132.5,123.49,64.78,87,319.33,816.12,1089.37,732,1295.35,414.41,566.93
"K09700",125,58.5,371.5,513.83,711.33,74.83,109.5,484.5,2742.5,499,45.17,108.83,37,7,5.5,1.83,20,7.33,0,22,3,3,527.83,452.83,440.83,482,374.5,215.83,256.5
"K09701",2143.9,272.39,846.05,696.36,1147.12,1034.54,5284.86,470.16,2932,4139.62,2475.98,778.89,99.75,130.08,257.75,440.53,303.83,165.19,163.75,335.28,268.25,317,2483.58,1205.35,1807.3,1207.88,1228.52,1141.79,786.55
"K09702",78.44,26.25,37.47,72.11,95.14,49.68,14.18,48.35,9.02,13.35,158.2,70.33,22.08,10.67,17.5,54.43,25.71,25.22,3.75,41.8,8.05,27.75,90.33,136.35,96.95,65.21,98.79,91.14,58.43
"K09703",451.24,138.5,483.33,824.67,972.42,382.75,149.75,970.85,2786.83,599.33,1567.08,615.99,55,83.33,282.5,160.84,335,128.7,5.5,364.3,53.2,348.5,999.58,1037.83,901.17,1072.16,1155.25,455.16,744.58
"K09704",317.12,61.95,94.08,130.34,325.17,184.33,54.62,133.31,55.42,84.92,468.66,230.58,10.83,17.16,37.41,270.25,108.16,66.46,4.17,84.28,7.8,116.33,221.5,499.08,263,271.42,378.71,192.25,173.58
"K09705",279.45,87.44,69.87,180.12,317.6,219.42,59.36,141.55,176.5,61.37,772.84,323.03,29.16,15.67,58.24,161.17,163.92,88.94,2,94.9,42.68,118.42,390.41,418.58,380.68,317.62,476.7,195.49,254.75
"K09706",68,19.32,27.32,33.66,64.68,50.65,6.5,37.82,5.67,22.16,167.17,91,0.33,18.5,17.49,28.33,44.33,17.5,0,34.83,1.67,42.5,119.32,164.99,122.15,72.66,96.99,91.98,40.33
"K09707",86,20.32,27.07,60.41,86.51,26.49,3,20.32,6.67,12.49,62.34,35,0.33,0,6.16,50.83,23.83,21,0,4.83,1.67,10.5,44.66,94.66,82.15,58.91,66.49,86.48,41.67
"K09709",80.33,10.33,8,55,40.67,141.75,7.33,8,4,3.67,51.34,41.17,0,0.67,1,14,2,0,11,1.92,6,32.25,52,86.25,74.67,113,59.16,27.58,12.17
"K09710",4977.92,1621.14,5259.14,5478.52,5476.55,3184.64,6181.75,3108.5,7455.44,6026.55,8439.87,3578.46,1372.94,8265.43,884.89,2276.34,1471.03,856.64,605.79,1374.16,691.44,1319.96,4952.29,6511.05,6051.69,4909.58,5911.37,4203.18,3718.6
"K09711",363.22,140.17,517.72,860.94,1038.78,362.78,164,1031,2795,684,1918.11,749.89,56,110,298.5,164.39,365.5,135.11,6,415,30.11,405.5,1251.72,1269.39,1094.94,1117.83,1216.78,573.72,789.11
"K09712",802.66,385.58,1062.12,832.17,1016.43,520.25,183.6,448.16,517.25,398.97,3069.77,503.8,586.1,2536.12,203.08,496.05,346.16,182.74,103.83,229.4,121.25,296.35,502.65,1148.64,835.89,681.38,993.55,951.63,729.83
