"","CBN7.1","CBN6.2","CBN10.1","CBN10.2","CBN9.2","CBN13.2","CBN1.1","CBN11.1","CBN17.1","CBN12.1","CBN16.1","CBN13.1"
"K15834",235.7,197.65,92.86,115.99,61.56,112.56,108.96,291.65,57.2,164.99,74.34,136.46
"K15835",7.58,420.57,56.67,721.08,29.33,23.41,50.92,63.24,223.16,365,50.83,331.33
"K15836",236.7,596.65,111.86,826.99,79.56,178.56,144.96,358.65,274.2,530.99,94.34,462.46
"K15850",0,1,1,0,0,0,0,0,0,0,7,1
"K15856",1,151.66,3,0.66,7,48.66,4.66,8,0.66,287,5,13
"K15862",2,5,0,1,2,17,9,10,0,4,0,6
"K15863",0,0,2,1,0,0,0,0,2,0,0,1
"K15864",0,0,0,0,1,0,0,3,0,2,0,0
"K15866",1008.9,513.28,498.06,359.22,661.56,2094.79,975.59,424.45,683.93,425.59,343.94,820.46
"K15878",0,0,0,0,0,2.33,0,0,0,0,0,0
"K15879",0,0,0,0,0,2.33,0,0,0,0,0,0
"K15888",0,25.58,17,136.75,15,14.58,5.25,20.33,6,59,13,39.5
"K15894",0,0,0,0,1,0,0,3,0,2,0,0
"K15896",0,0,0,0,1,0,0,3,0,2,0,0
"K15898",0,2,1,0,7,0,0,4,1,6,0,1
"K15904",0,7.58,1,42.75,6,14.58,0.25,11.33,1,29,0,5.5
"K15916",2,15,15,11,7,1,4.5,3,5,103,11,14.5
"K15918",2,0,1,1,0,0,0,14,0,3,1,1
"K15921",0,7,0,0,0,0,0,0,0,5,1,0
"K15922",3.75,0.75,5,0.75,3,2.25,0.25,48.25,0.5,6,4,0
"K15923",0.4,18.2,2.6,1.4,3.6,11.7,3,0.2,1,21.6,3.2,3.2
"K15924",0,7,0,0,0,0,0,0,0,5,1,0
"K15930",14.5,0,0,0,0,0,0,2,0,0.5,8.5,0
"K15934",0,1,0,10,0,1,0,9,0,3,13,3
"K15936",14.5,0,0,0,0,0,0,2,0,0.5,8.5,0
"K15939",0,1,0,10,0,1,0,9,0,3,13,3
"K15973",6,122,6,13,33.66,12.34,6,14,7,137,139,14.34
"K15974",252.73,612.61,113.73,840.56,90.56,182.96,288.93,369.12,296.43,541.09,136.77,467.78
"K15975",12.8,272.23,15.2,49.13,65.19,29.07,13.33,32.9,13.33,156.2,153.07,47.91
"K15976",0,7.5,0,0,0.33,0.67,0,0,0,5,1,0.17
"K15977",2252.91,2211.99,1080.72,2133.56,1256.88,4767.67,1554.03,1206.72,1847.96,2238.3,639.38,2451.58
