"CBN1.1"	"CBN10.1"	"CBN10.2"	"CBN11.1"	"CBN12.1"	"CBN13.1"	"CBN13.2"	"CBN17.1"	"CBN6.2"	"CBN7.1"	"CBN9.2"
"K02126"	0	0	0	3.55020342665635e-05	0.00040480210959728	0	0	0	5.90807042419946e-05	3.81821479367322e-05	0
"K02128"	3.28054391418097e-05	0	0	4.26024411198762e-05	0.000138789294719067	0	0	2.11447782969996e-05	0	0	0
"K02131"	0	0	0	1.42008137066254e-05	0	0	0	0	0	0	0
"K02132"	2.46040793563573e-05	0	0	0	0	0	0	0	0	0	0
"K02133"	0	0	0	0	0	0	0	0	4.22005030299961e-05	0	0
"K02140"	0	0	0	0	2.31315491198446e-05	0	0	0	0	0	0
"K05607"	0	0	0	0	0	0	0	2.81930377293327e-05	0	0	0
"K11481"	0	0	0	1.42008137066254e-05	0	0	0	0	0	0	0
"K10901"	0	0	0	0	0	0	1.89782130114628e-05	0	0	0	0
"K04663"	0	0	0	0	1.15657745599223e-05	0	0	0	0	0	0
"K01331"	0	0	0	0	0	0	1.89782130114628e-05	0	0	0	0
"K03990"	0	0	0	7.10040685331269e-06	0	0	0	0	0	0	0
"K03989"	0	0	0	0	2.31315491198446e-05	0	0	0	0	0	0
"K04852"	0	0	0	0	1.15657745599223e-05	0	0	0	0	0	0
"K04507"	0	0	0	0	6.93946473595337e-05	0	0	0	0	0	0
"K11540"	0	7.95193848380389e-06	0	0	0	1.24810444137965e-05	0	0	0	0	0
"K12327"	0	0	0	1.42008137066254e-05	0	0	0	0	0	0	0
"K01255"	0.000123020396781786	0.000401572893432096	0.000347374198434037	0.000170409764479505	0.000312275913117901	0.000274582977103524	0.000218249449631823	9.86756320526646e-05	9.28411066659915e-05	0	0.000135642266130126
"K01883"	0.00161566787773413	0.00275932265387995	0.00242467190506958	0.00296797006468471	0.0018158266059078	0.00266470298234556	0.00218249449631823	0.00198056090048563	0.00259955098664776	0.00336002901843243	0.0022607044355021
"K04707"	0	0	0	1.42008137066254e-05	0	0	9.48910650573142e-06	0	0	0	0
"K00079"	3.28054391418097e-05	0	0	0	0	0	0	0	0	0	0
"K05226"	0	0	0	0	2.31315491198446e-05	0	0	0	0	0	0
"K21777"	0	0	0	2.84016274132508e-05	0.000138789294719067	0	1.89782130114628e-05	0	0	0	0
"K13738"	0	0	0	0	0	0	1.89782130114628e-05	0	0	0	0
"K06506"	0	0	0	0	1.15657745599223e-05	0	0	0	0	0	0
"K06639"	0	0	0	7.10040685331269e-06	0	0	0	0	0	0	0
"K12860"	0	0	0	2.84016274132508e-05	6.93946473595337e-05	0	2.84673195171943e-05	0	0	0	0
"K12298"	0	0	0	4.97028479731889e-05	0	0	0	0	0	0	0
